StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Consent form,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Q1,Q2,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Q8,Q9,Q10_1,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Q11,Q11_8_TEXT,Q12,Q13,Q13_6_TEXT,Q14,Q14_9_TEXT,Q15,Q16,Q16_3_TEXT,Q17,Q17_7_TEXT,Q18,Q19,Q19_3_TEXT,Q20,Q20_8_TEXT,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_7_TEXT,Q21_8,Q21_8_TEXT,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_6_TEXT,Q24_7,Q24_7_TEXT,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_8_TEXT,Q26_9,Q26_9_TEXT,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Q27_1,Q27_2,Q27_1,Q27_2,Q30_1,Q30_2,Q31,Q32,Q33_1,Q34_1,Q35_1,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Q36,Q37,Q38,Q49,Q39
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please review the following informed consent document prior to continuing with this survey.
 

Informed Consent Form

 

By selecting ""I agree"" you are consenting to the conditions included in the document linked above.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"50 States, D.C. and Puerto Rico","50 States, D.C. and Puerto Rico",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please describe your company's experience managing projects with low to moderate income subscribers,What is the highest percentage of total capacity that you have allocated to low to moderate income subscribers for one of your projects?,"To the best of your knowledge, what is the average capacity (kW) that your company allocates for a typical low to moderate income subscription? - Number of kW",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please describe the typical monthly bill savings that subscribers receive from participating in your average community solar project. If your projects result in savings on a timeframe other than monthly please use “other” option. - Selected Choice,Please describe the typical monthly bill savings that subscribers receive from participating in your average community solar project. If your projects result in savings on a timeframe other than monthly please use “other” option. - Other - Text,Does the savings rate provided by your average project differ for low to moderate income and non low to moderate income subscribers?,In what ways does the savings rate offered by your average project differ for low to moderate income and non low to moderate income subscribers? - Selected Choice,In what ways does the savings rate offered by your average project differ for low to moderate income and non low to moderate income subscribers? - Other - Text,What is the average term length used in your subscriber agreements? - Selected Choice,What is the average term length used in your subscriber agreements? - Other - Text,Does the average term length provided by your average project differ for low to moderate income and non low to moderate income subscribers?,How does the average term length offered in your average project differ for low to moderate income and non low to moderate income subscribers? - Selected Choice,How does the average term length offered in your average project differ for low to moderate income and non low to moderate income subscribers? - Other - Text,What is the cancellation fee included in the subscriber agreement for your average project? - Selected Choice,What is the cancellation fee included in the subscriber agreement for your average project? - Fee charged per kW allocation (please include rate) - Text,Does the cancellation fee included in your average project differ for low to moderate income and non low to moderate income subscribers?,How does the cancellation fee included in your average project differ for differ for low to moderate income and non low to moderate income subscribers? - Selected Choice,How does the cancellation fee included in your average project differ for differ for low to moderate income and non low to moderate income subscribers? - Other - Text,Do you anticipate the community solar industry to move away from common contract terms that are used today? - Selected Choice,Do you anticipate the community solar industry to move away from common contract terms that are used today? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - High customer acquisition costs","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Risk of subscriber churn","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Risk of subscriber default","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Difficulty communicating community solar product","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Difficulty qualifying households as low income","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Lack of available project financing","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Other","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Other - Text","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Other","What factors impact your ability to make community solar projects accessible to a diverse socioeconomic population?

 


	Churn defined as the number of customers that leave a project over its lifetime
	Default defined as the number of customers that do not make payments over the lifetime of a project - Other - Text",What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Policy/program requirements,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Community interest,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Financier/investor interest,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - My company's interest,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Equity and inclusion,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Other,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Other - Text,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Other,What are the key factors that influence your decision to include low to moderate subscribers in your projects? - Other - Text,To what extent do the following impact your ability to fill community solar projects quickly? - Savings rate offered to subscribers,To what extent do the following impact your ability to fill community solar projects quickly? - Contract term length offered to subscribers,To what extent do the following impact your ability to fill community solar projects quickly? - Termination fees presented to subscribers,To what extent do the following impact your ability to fill community solar projects quickly? - Lack of on-bill crediting,To what extent do the following impact your ability to fill community solar projects quickly? - Presence of on-bill crediting,To what extent do the following impact your ability to fill community solar projects quickly? - Contract complexity (language & page length),To what extent do the following impact your ability to fill community solar projects quickly? - Trust of developers or project owners,To what extent do the following impact your ability to fill community solar projects quickly? - Other,To what extent do the following impact your ability to fill community solar projects quickly? - Other - Text,To what extent do the following impact your ability to fill community solar projects quickly? - Other,To what extent do the following impact your ability to fill community solar projects quickly? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"On average, what rate of default do you experience or assume in your model for market rate and low to moderate income subscribers over the lifetime of a community solar project? - Market rate default","On average, what rate of default do you experience or assume in your model for market rate and low to moderate income subscribers over the lifetime of a community solar project? - Low to moderate income rate default","On average, what rate of churn do you experience or assume in your model for market rate and low to moderate income subscribers over the lifetime of a community solar project? - Market rate default","On average, what rate of churn do you experience or assume in your model for market rate and low to moderate income subscribers over the lifetime of a community solar project? - Low to moderate income rate default",At what project stage do you typically see the highest rates of churn and default? - Highest churn rate,At what project stage do you typically see the highest rates of churn and default? - Highest default rate,Do churn and default risk impact how your subscriber agreements are structured?,How do churn and default risk impact how your subscriber agreements are structured?,"When working with low to moderate income subscribers, to what extent would a loan loss reserve or guarantee fund alleviate possible risk during project development?
Loan loss reserve and guarantee fund defined as: credit enhancement approaches in which third parties provide partial risk coverage to lenders such that that the reserve covers a prespecified amount of loan losses - Ability to alleviate risk",What percentage of total project revenue would an ideal loan loss reserve or guarantee fund cover? - Percent of total project revenue,How many years of risk would an ideal loan loss reserve or guarantee fund cover? - Number of years,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do the methods your company uses to enroll subscribers change when a significant percentage of a community solar project is allocated to low to moderate income subscribers?,How do your enrollment methods change when a significant percentage of a community solar project is allocated to low-income subscribers?,"Has COVID-19 impacted your approach to pursuing future community solar projects? (i.e. impacts to project development, financing, subscriber acquisition, etc.)",Would you like to receive a $30 reward for completing this survey?,Would you be willing to participate in a follow up phone conversation with Solstice Initiative researchers?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_8_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_6_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_9_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_3_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_3_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_8_TEXT""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_7""}","{""ImportId"":""QID19_7_TEXT""}","{""ImportId"":""QID19_8""}","{""ImportId"":""QID19_8_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_6_TEXT""}","{""ImportId"":""QID22_7""}","{""ImportId"":""QID22_7_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID24_8_TEXT""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID24_9_TEXT""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_10""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID48_FIRST_CLICK""}","{""ImportId"":""QID48_LAST_CLICK""}","{""ImportId"":""QID48_PAGE_SUBMIT""}","{""ImportId"":""QID48_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID39""}"
2020-11-18 08:15:47,2020-11-18 08:27:06,IP Address,209.50.13.39,100,679,True,2020-11-18 08:27:07,R_1NtaCIuZBUb0CVn,,,,,40.7841949462890625,-96.6461029052734375,anonymous,EN,5.206,40.39,41.649,2,I agree,10.958,18.084,20.72,3,"Illinois,Massachusetts,New York","Colorado,Maine,Minnesota",4.272,4.272,23.685,1,We have yet to manage projects with a LMI requirement.,Unsure,,4.122,12.229,13.334,2,6-10% savings per month,,No,,,1-3 years,,No,,,No cancellation fee,,No,,,"Yes, terms will converge and become more customer friendly",,14.344,52.102,52.985,12,Extremely important,Very important,Very important,Extremely important,Moderately important,Not at all important,Very important,Market saturation,Extremely important,Covid environment and restrictions,Extremely important,Extremely important,Extremely important,Very important,Extremely important,,,,,Probably yes,Definitely yes,Probably yes,Probably yes,Probably yes,Definitely yes,Probably not,,,,,14.654,28.005,29.388,4,3-5%,9-11%,Unsure,Unsure,Prior to COD,Within first year of operation,Yes,"Writing clear, user-friendly sections on termination requirements and payment options.",Neither likely nor unlikely,,,5.908,7.291,8.9,2,Yes,"More localized approach to marketing, ease of sign up, bringing technology to customers in case no wifi, etc. Allowing paper collateral and agreements vs online only.","Completely. More difficult to fill projects timely and using in-person methods. Digital marketing doesn't seem to be as effective. Also, I believe people's focus is more on the unknowns of covid and dealing with family/job changes vs looking for an energy savings.",Yes,
2020-11-18 08:20:52,2020-11-18 08:32:38,IP Address,147.92.96.98,100,705,True,2020-11-18 08:32:39,R_XTaWemuJYt6xh3X,,,,,42.739105224609375,-84.57039642333984375,anonymous,EN,2.911,2.911,5.15,1,I agree,11.056,11.056,14.951,1,Michigan,Michigan,3.475,3.475,105.091,1,"I'm NOT a project manager. I'm a state renewable and clean energy policy researcher. Perhaps I should not be looking at this questionnaire. I live and work in Michigan, but my focus is the whole U.S., and to a lesser extend the U.N. SDGs.  ",Unsure,,15.009,64.605,67.492,2,Other,"I do participate in my local municipal utility's ""second-rate"" community solar program -- having leased what is effectively ""panel number 1"" of 1,000 panels. ",No,,,Other,"not applicable. 25-year term in my muni-utility's ""not very acceptable"" program.",No,,,Fee charged per kW allocation (please include rate),no cancellation fee per se,Unsure,,,"Yes, terms will converge and become more customer friendly",,14.042,51.733,54.033,10,Very important,Slightly important,Slightly important,Moderately important,Slightly important,Extremely important,Extremely important,Utility recalcitrance,Extremely important,No state support policy,Very important,Very important,Very important,Extremely important,Extremely important,,MUST combine all LI efforts... not just community solar,Extremely important,"MUST have inclusive financing for all... ",Definitely yes,Probably yes,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Definitely yes,"Utility recalcitrance, foot dragging, knuckle dragging",Definitely yes,Lack of inclusive financing; lack of IRS ruling needed to ensure we can do these projects with or without utility participation,7.511,28.668,29.629,4,0-2%,Unsure,0-4%,Unsure,Prior to COD,Within 1-3 years,Unsure,,Extremely likely,80,7,4.935,9.586,11.186,2,Yes,"Low-income subscribers can only participate in programs that combine community shared resources with major deep energy efficiency retrofits, so that the participating customers have no-money down, monthly savings well in excess of monthly repayments","Yes... has likely stalled all new efforts, including stalling enabling legislation.",Yes,
2020-11-20 07:49:29,2020-11-20 07:53:21,IP Address,167.160.167.214,100,231,True,2020-11-20 07:53:21,R_dahQSCfFTXZ0HJL,,,,,40.78759765625,-74.05999755859375,anonymous,EN,0.991,0.991,1.807,1,I agree,1.075,27.816,31.82,12,"Alabama,California,Connecticut,District of Columbia,Illinois,Iowa,Kansas,Massachusetts,Michigan,Oregon,Puerto Rico",,1.516,2.411,23.451,2,"We are a financing platform, but have developed our own projects and typically contract out that work.",More than 20% of total capacity,75,1.394,12.176,13.148,8,21-50% savings per month,,No,,,20 or more years,,No,,,No cancellation fee,,No,,,"Yes, terms will diverge and become more differentiated based on project size, geography, market, etc.",,2.232,28.381,29.228,17,Slightly important,Not at all important,Very important,Extremely important,Not at all important,Extremely important,,,,,Not at all important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,,,,,18.45,20.094,20.811,4,Unsure,Unsure,Unsure,Unsure,,,,,,,,0,0,0.713,0,,,,Yes,
2020-11-19 10:54:04,2020-11-20 12:24:32,IP Address,24.46.188.210,15,91827,False,2020-11-27 12:25:21,R_1Kycb6i2PxNpCGE,,,,,,,anonymous,EN,3.382,3.382,4.465,1,I agree,11.214,11.214,13.865,1,New York,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 11:54:41,2020-12-03 12:12:31,IP Address,69.244.90.170,100,1070,True,2020-12-03 12:12:32,R_cuSpiWE2D97Do9b,,,,,38.80780029296875,-77.05229949951171875,anonymous,EN,4.488,4.488,7.123,1,I agree,21.229,90.682,106.852,9,"Arkansas,California,Colorado,Illinois,New Mexico,North Carolina,Oklahoma,Virginia,Washington","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming",7.138,7.138,90.679,1,"Our work has supported electric co-ops as they evaluated and implemented solar projects. Specific support has included guidance on planning, financing, engineering, and consumer engagement.",More than 20% of total capacity,250,15.254,74.528,76.319,3,Other,Multiple projects that depend on the co-op and local factors,Unsure,,,No minimum length,,No,,,No cancellation fee,,No,,,"Yes, terms will converge and become more customer friendly",,22.252,63.855,67,8,Slightly important,Slightly important,Slightly important,Extremely important,Extremely important,Extremely important,,,,,Slightly important,Extremely important,Not at all important,Very important,Very important,,,,,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Might or might not,Definitely yes,Probably not,,,,,10.167,24.665,26.115,4,Unsure,Unsure,Unsure,Unsure,,,Unsure,,Extremely likely,,,16.728,16.728,17.721,1,Unsure,,"COVID-19 has increased the interest and need for energy access services across the country. Utilities across the country are carrying a lot of unpaid bills. Some of those will eventually be covered by assistance programs. Many will not. Meanwhile, subscribing low income customers with limited personal contact is an extreme challenge. LMI often don't have internet access. If they do, their skills are often limited and completing a complicated on-line application is a big challenge. The process needs to be simple and minimal--both during COVID and beyond. LIHEAP and WAP recipients should automatically qualify with no additional burden to the consumer. ",No,Yes
2020-12-09 11:29:00,2020-12-09 11:44:29,IP Address,68.7.41.118,100,928,True,2020-12-09 11:44:30,R_bOVYZjVSALtzgCB,,,,,32.630401611328125,-116.93719482421875,anonymous,EN,9.609,9.609,11.248,1,I agree,11.202,63.544,65.342,13,"California,Colorado,Mississippi,Oregon","California,Colorado",6.398,33.331,83.812,2,GRID is the largest 501(c)3 nonprofit solar developer and installer in the country. GRID’s mission is to make renewable energy technology and job training accessible to underserved low income communities.,More than 20% of total capacity,,9.725,36.374,38.036,3,Unsure,,Unsure,,,Unsure,,Unsure,,,,,Unsure,,,Other,Unsure,13.218,100.391,101.881,7,Extremely important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,,,,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,,,,,Definitely yes,Definitely yes,Probably yes,Probably yes,Probably yes,Might or might not,Might or might not,,,,,44.473,50.501,51.862,4,Unsure,Unsure,Unsure,Unsure,,,Unsure,,Moderately likely,,,8.81,8.81,32.91,1,Unsure,,"Less opportunity for on site, outreach, lead presentations. Overall more difficult to operate in this environment.",Yes,
2020-12-09 11:30:42,2020-12-09 11:52:39,IP Address,73.170.0.145,100,1317,True,2020-12-09 11:52:40,R_1Crsa1YgQRHkpkA,,,,,37.893798828125,-122.530303955078125,anonymous,EN,2.166,2.166,3.554,1,I agree,60.74,68.456,74.093,4,"Illinois,Massachusetts,Minnesota,New Jersey","California,Colorado,New York,Pennsylvania,Virginia",3.943,26.334,87.973,3,"Participate in the NY Solar for All program and early Colorado utility backed LMI focused initiatives for community solar. Outside of state and utility supported programs, minimal due to financing restrictions.",More than 20% of total capacity,0,14.797,22.443,23.401,2,11-15% savings per month,,No,,,11-15 years,,No,,,No cancellation fee,,No,,,"Yes, terms will converge and become more customer friendly",,10.119,38.166,40.592,7,Very important,Moderately important,Extremely important,Moderately important,Slightly important,Extremely important,,,,,Extremely important,Slightly important,Extremely important,Very important,Very important,,,,,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definitely yes,Might or might not,,,,,205.732,211.628,212.411,4,0-2%,Unsure,0-4%,Unsure,Prior to COD,Within 1-3 years,Yes,subscribers are required to honor contract until replacement customer can be found if they would like to cancel,Moderately likely,100,5,7.688,7.688,8.533,1,Unsure,,"Financing, door to door sales for subscriber acquisition, project development delays and program expansion delays ",No,Yes
2020-12-09 11:28:49,2020-12-09 13:44:27,IP Address,73.223.40.185,100,8138,True,2020-12-09 13:44:28,R_3qprGUClNwjIg3k,,,,,37.554901123046875,-122.2707977294921875,anonymous,EN,2.521,2.521,4.868,1,I agree,10.328,74.93,96.064,12,"Colorado,Maine,Maryland,Massachusetts,Minnesota,New Mexico,New York,Oregon,Rhode Island,Virginia","Arkansas,California,Colorado,Connecticut,Delaware,Hawaii,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Wisconsin",3.628,64.293,67.434,5,"Our firm is an owner-operator, so we don't have the same creditworthiness issues that other community solar developers have. Therefore we tend to prefer LMI subscribers.",More than 20% of total capacity,3000,5.796,17.548,18.742,2,6-10% savings per month,,Unsure,,,No minimum length,,No,,,No cancellation fee,,No,,,"Yes, terms will converge and become more customer friendly",,12.046,31.972,34.63,7,Very important,Slightly important,Slightly important,Moderately important,Very important,Slightly important,,,,,Moderately important,,Slightly important,Extremely important,Extremely important,,,,,Definitely yes,Definitely yes,Might or might not,Might or might not,Might or might not,Probably yes,Probably yes,,,,,4.966,14.941,15.862,4,0-2%,0-2%,Unsure,Unsure,Within first year of operation,Within 1-3 years,Unsure,,Slightly likely,50,30,8.045,8.045,9.672,1,Unsure,,"Only in terms of sales methods. We've experienced no change in projected growth, financing availability (tax equity was a bit tight this year) or project development timeframes (some delays here and there but nothing majorly impactful).",Yes,
