"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"1",2021,10,"2021_10",910,"21004003360",900,257,"card",9998.78,"Frog Hollow (CHGE)","not in list","0",0,0
"2",2021,10,"2021_10",910,"21004003360",900,257,"ach",9998.78,"Frog Hollow (CHGE)","not in list","0",0,0
"3",2021,10,"2021_10",1153,"7110212000",1194,436,"card",5676,"Frog Hollow (CHGE)",">=$50,000","0",0,0
"4",2021,10,"2021_10",1153,"7110212000",1194,436,"card",5676,"Frog Hollow (CHGE)",">=$50,000","0",0,0
"5",2021,10,"2021_10",1111,"8503287001",1143,402,"card",4510.73,"Frog Hollow (CHGE)",">=$50,000","0",0,0
"6",2021,10,"2021_10",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"7",2021,10,"2021_10",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"8",2021,10,"2021_10",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"9",2021,10,"2021_10",1062,"21002015333",1078,362,"card",14584.7,"Frog Hollow (CHGE)","not in list","0",0,0
"10",2021,10,"2021_10",1062,"21002015333",1078,362,"card",14584.7,"Frog Hollow (CHGE)","not in list","0",0,0
"11",2021,10,"2021_10",1062,"21002015333",1078,362,"card",14584.7,"Frog Hollow (CHGE)","not in list","0",0,0
"12",2020,8,"2020_8",846,"21003194384",828,220,"ach",11126.5,"Frog Hollow (CHGE)","not in list","0",0,0
"13",2020,8,"2020_8",846,"21003194384",828,220,"card",11126.5,"Frog Hollow (CHGE)","not in list","0",0,0
"14",2020,8,"2020_8",846,"21003194384",828,220,"card",11126.5,"Frog Hollow (CHGE)","not in list","0",0,0
"15",2020,8,"2020_8",846,"21003194384",828,220,"card",11126.5,"Frog Hollow (CHGE)","not in list","0",0,0
"16",2020,8,"2020_8",846,"21003194384",828,220,"card",11126.5,"Frog Hollow (CHGE)","not in list","0",0,0
"17",2020,8,"2020_8",846,"21003194384",828,220,"card",11126.5,"Frog Hollow (CHGE)","not in list","0",0,0
"18",2021,9,"2021_9",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"19",2021,9,"2021_9",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"20",2021,9,"2021_9",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"21",2020,9,"2020_9",753,"21000632626",710,147,"card",16201,"Frog Hollow (CHGE)","not in list","0",0,0
"22",2020,9,"2020_9",753,"21000632626",710,147,"card",16201,"Frog Hollow (CHGE)","not in list","0",0,0
"23",2021,10,"2021_10",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"24",2021,10,"2021_10",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"25",2021,10,"2021_10",1342,"21002640783",1434,528,"card",8871.1,"Frog Hollow (CHGE)","not in list","0",0,0
"26",2020,9,"2020_9",1351,"21004043556",1446,535,"card",2668.85,"Frog Hollow (CHGE)","not in list","0",0,0
"27",2020,9,"2020_9",1351,"21004043556",1446,535,"card",2668.85,"Frog Hollow (CHGE)","not in list","0",0,0
